2024-06-11 12:20:57,221 INFO Trade executed: {'date': '2023-01-15', 'price': 357353.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:57,554 INFO Trade executed: {'date': '2023-01-15', 'price': 355998.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:57,896 INFO Trade executed: {'date': '2023-01-16', 'price': 362136.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:58,240 INFO Trade executed: {'date': '2023-01-16', 'price': 361950.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:58,582 INFO Trade executed: {'date': '2023-01-16', 'price': 366161.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:58,920 INFO Trade executed: {'date': '2023-01-17', 'price': 365598.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:59,258 INFO Trade executed: {'date': '2023-01-17', 'price': 367344.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:59,597 INFO Trade executed: {'date': '2023-01-17', 'price': 365501.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:59,935 INFO Trade executed: {'date': '2023-01-18', 'price': 367375.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:00,270 INFO Trade executed: {'date': '2023-01-18', 'price': 362479.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:00,606 INFO Trade executed: {'date': '2023-01-18', 'price': 356478.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:00,947 INFO Trade executed: {'date': '2023-01-19', 'price': 360273.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:01,289 INFO Trade executed: {'date': '2023-01-19', 'price': 363989.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:01,631 INFO Trade executed: {'date': '2023-01-19', 'price': 363901.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:02,108 INFO Trade executed: {'date': '2023-01-20', 'price': 364464.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:02,449 INFO Trade executed: {'date': '2023-01-20', 'price': 364940.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:02,782 INFO Trade executed: {'date': '2023-01-20', 'price': 381147.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:03,115 INFO Trade executed: {'date': '2023-01-21', 'price': 390000.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:03,460 INFO Trade executed: {'date': '2023-01-21', 'price': 395877.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:03,798 INFO Trade executed: {'date': '2023-01-21', 'price': 392393.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:04,140 INFO Trade executed: {'date': '2023-01-22', 'price': 393244.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:04,476 INFO Trade executed: {'date': '2023-01-22', 'price': 392035.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:04,816 INFO Trade executed: {'date': '2023-01-22', 'price': 389414.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:05,163 INFO Trade executed: {'date': '2023-01-23', 'price': 390668.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:05,503 INFO Trade executed: {'date': '2023-01-23', 'price': 394499.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:05,839 INFO Trade executed: {'date': '2023-01-23', 'price': 394503.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:06,173 INFO Trade executed: {'date': '2023-01-24', 'price': 399000.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:06,520 INFO Trade executed: {'date': '2023-01-24', 'price': 398674.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:06,855 INFO Trade executed: {'date': '2023-01-24', 'price': 394358.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:07,193 INFO Trade executed: {'date': '2023-01-25', 'price': 395576.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:07,533 INFO Trade executed: {'date': '2023-01-25', 'price': 390301.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:07,876 INFO Trade executed: {'date': '2023-01-25', 'price': 396909.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:08,215 INFO Trade executed: {'date': '2023-01-26', 'price': 397079.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:08,552 INFO Trade executed: {'date': '2023-01-26', 'price': 398680.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:08,888 INFO Trade executed: {'date': '2023-01-26', 'price': 397600.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:09,231 INFO Trade executed: {'date': '2023-01-27', 'price': 400790.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:09,574 INFO Trade executed: {'date': '2023-01-27', 'price': 399387.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:09,914 INFO Trade executed: {'date': '2023-01-27', 'price': 399490.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:10,256 INFO Trade executed: {'date': '2023-01-28', 'price': 400199.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:10,594 INFO Trade executed: {'date': '2023-01-28', 'price': 400843.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:10,931 INFO Trade executed: {'date': '2023-01-28', 'price': 400843.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:11,274 INFO Trade executed: {'date': '2023-01-29', 'price': 404173.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:11,614 INFO Trade executed: {'date': '2023-01-29', 'price': 408212.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:11,953 INFO Trade executed: {'date': '2023-01-29', 'price': 411481.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:12,289 INFO Trade executed: {'date': '2023-01-30', 'price': 410820.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
