timestamp,signal,positions,short_mavg,long_mavg,rsi,ma_signal,ma_positions,rsi_signal,rsi_positions,fvg_signal,composite_score,risk_score
2019-04-15,0.0,0.0,67574.3,61852.833333333336,75.1878186208747,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-16,0.0,0.0,68148.3,62276.86666666667,63.72996028827769,1.0,0.0,0.0,1.0,0.0,0.4,0.0
2019-04-17,0.0,0.0,68714.96666666666,62695.65,58.42324117779276,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-18,0.0,0.0,69324.1,63140.666666666664,65.96440649775462,1.0,0.0,0.0,0.0,-1.0,-0.20000000298023224,0.0
2019-04-19,0.0,0.0,69944.73333333334,63531.48333333333,62.52594310828959,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-20,0.0,0.0,70624.4,63929.13333333333,62.39279588336192,1.0,0.0,0.0,0.0,-1.0,-0.20000000298023224,0.0
2019-04-21,0.0,0.0,71249.53333333334,64307.73333333333,53.956931359353966,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-22,0.0,0.0,71926.46666666666,64724.11666666667,57.1946946946947,1.0,0.0,0.0,0.0,-1.0,-0.20000000298023224,0.0
2019-04-23,0.0,-1.0,72725.63333333333,65190.88333333333,70.74945017763491,1.0,0.0,-1.0,-1.0,-1.0,-0.6000000029802323,0.7074945017763491
2019-04-24,0.0,0.0,73514.9,65583.03333333334,62.93768701769122,1.0,0.0,0.0,1.0,0.0,0.4,0.0
2019-04-25,0.0,0.0,74147.76666666666,65983.01666666666,58.46296386599698,1.0,0.0,0.0,0.0,1.0,0.20000000298023224,0.0
2019-04-26,0.0,0.0,74715.8,66377.7,58.24305112995735,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-27,0.0,0.0,75321.76666666666,66795.38333333333,58.24305112995735,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-28,0.0,0.0,75867.6,67201.68333333333,53.871330174393044,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-29,0.0,0.0,76371.13333333333,67579.78333333334,54.05882352941177,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-30,0.0,0.0,76921.1,67963.5,53.871142393069846,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,77561.56666666667,68364.93333333333,56.58961411960902,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-02,0.0,0.0,77894.96666666666,68792.2,56.70193596081874,1.0,0.0,0.0,0.0,-1.0,-0.20000000298023224,0.0
2019-05-03,0.0,0.0,78253.73333333334,69298.18333333333,62.00843266034217,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-04,0.0,0.0,78702.06666666667,69801.8,62.581855933556945,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-05,0.0,0.0,79081.46666666666,70290.66666666667,64.1967723437372,1.0,0.0,0.0,0.0,0.0,0.0,0.0
